141733	0.00656	0.00002
0.17		366.1	9.30
0.27		264.3	7.60
0.42		184.0	6.60
0.67		128.6	5.50
1.10		84.70	4.3
1.70		59.4		3.6
2.70		42.9		3.3
4.20		30.9		3.1
6.70		21.9		2.7
10.6		14.6		2.1
16.9		8.24		1.32
26.8		4.88		1.06
42.3		3.58		0.86
